NAME,Lattitude,Longitude,aqi,pm25,pm10,no2,o3,co,so2,temp,humidity,sound,traffic_score
BopadiSquare_65,18.5594267,73.8286556,70.6,17.0,20.5,56.5,7.5,134.5,4.5,32.5,19.995,66.133,37.9
Karve Statue Square_5,18.5017272,73.8135954,99.4,17.5,21.0,79.5,9.0,96.5,3.5,32.0,20.73,63.568,41.2
Lullanagar_Square_14,18.4873065,73.8856497,85.6,19.0,23.0,68.5,12.5,79.0,3.0,32.0,17.387,59.362,30.3
Hadapsar_Gadital_01,18.5018335,73.9414776,113.8,19.5,23.5,107.5,2.5,111.5,5.5,32.0,18.725,72.178,65.3
PMPML_Bus_Depot_Deccan_15,18.4517156,73.8561703,104.5,15.0,17.5,89.0,4.5,82.0,4.5,32.5,20.622,74.756,63.5
Goodluck Square_Cafe_23,18.5343565,73.8260579,100.0,20.0,24.5,80.0,3.0,79.0,3.5,33.0,19.896,58.582,32.8
Karve Statue Square_5,18.5017272,73.8135954,99.4,17.5,21.0,79.5,9.0,96.5,3.5,32.0,25.154,65.501,44.5
Goodluck Square_Cafe_23,18.5343565,73.8260579,99.4,20.0,24.5,79.5,3.0,79.0,3.5,33.0,25.047,60.607,36.1
BopadiSquare_65,18.5594267,73.8286556,70.6,17.0,20.0,56.5,7.5,134.5,4.5,32.5,23.487,67.149,39.7
Lullanagar_Square_14,18.4873065,73.8856497,85.0,19.0,23.0,68.0,12.5,79.0,3.0,32.0,21.912,62.241,35.1
PMPML_Bus_Depot_Deccan_15,18.4517156,73.8561703,104.5,15.0,17.5,89.0,4.5,82.0,4.5,32.5,25.406,78.467,69.9
Chitale Bandhu Corner_41,18.51557,73.8243931,51.9,13.0,15.0,41.5,9.0,85.0,3.0,33.5,21.773,74.061,46.5
Hadapsar_Gadital_01,18.5018335,73.9414776,113.8,19.5,23.5,107.5,2.5,111.5,5.5,32.0,22.223,73.081,66.8
Pune Railway Station_28,18.5250661,73.7929274,105.2,20.0,23.5,90.5,6.0,72.5,2.5,33.0,23.952,83.731,79.4
PMPML_Bus_Depot_Deccan_15,18.4517156,73.8561703,104.5,15.0,17.5,89.0,4.5,82.0,4.5,32.5,25.406,78.467,69.9
Hadapsar_Gadital_01,18.5018335,73.9414776,113.8,19.5,23.5,107.5,2.5,111.5,5.5,32.0,22.223,73.081,66.8
Lullanagar_Square_14,18.4873065,73.8856497,85.0,19.0,23.0,68.0,12.5,79.0,3.0,32.0,21.912,62.241,35.1
Karve Statue Square_5,18.5017272,73.8135954,99.4,17.5,21.0,79.5,9.0,96.5,3.5,32.0,25.154,65.501,44.5
Goodluck Square_Cafe_23,18.5343565,73.8260579,99.4,20.0,24.5,79.5,3.0,79.0,3.5,33.0,25.047,60.607,36.1
BopadiSquare_65,18.5594267,73.8286556,70.6,17.0,20.0,56.5,7.5,134.5,4.5,32.5,23.487,67.149,39.7
Rajashri_Shahu_Bus_stand_19,18.4822385,73.8580916,85.0,22.0,26.0,68.0,8.0,57.5,1.5,31.0,25.494,68.601,46.0
Pune Railway Station_28,18.5250661,73.7929274,105.2,20.0,23.5,90.5,6.0,72.5,2.5,33.0,23.952,83.731,79.4
Chitale Bandhu Corner_41,18.51557,73.8243931,51.9,13.0,15.0,41.5,9.0,85.0,3.0,33.5,22.626,74.142,46.6
